# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database may not 
# have received Director's approval.  Any such data values are qualified as provisional and 
# are subject to revision.  Provisional data are released on the condition that neither the 
# USGS nor the United States Government may be held liable for any damages resulting from its use.
#  Go to http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2024-01-24 19:20:43 -05:00	(natwebcaas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14337600 ROGUE RIVER NEAR MCLEOD, OR
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
#
# Data provided for site 14337600
#    TS_ID       Parameter Description
#    117566      00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	117566_00060	117566_00060_cd
5s	15s	20d	6s	14n	10s
USGS	14337600	2024-01-17 16:25	PST	3490	P
USGS	14337600	2024-01-17 16:30	PST	3490	P
USGS	14337600	2024-01-17 16:35	PST	3480	P
USGS	14337600	2024-01-17 16:40	PST	3490	P
USGS	14337600	2024-01-17 16:45	PST	3490	P
USGS	14337600	2024-01-17 16:50	PST	3510	P
USGS	14337600	2024-01-17 16:55	PST	3510	P
USGS	14337600	2024-01-17 17:00	PST	3490	P
USGS	14337600	2024-01-17 17:05	PST	3490	P
USGS	14337600	2024-01-17 17:10	PST	3510	P
USGS	14337600	2024-01-17 17:15	PST	3510	P
USGS	14337600	2024-01-17 17:20	PST	3510	P
USGS	14337600	2024-01-17 17:25	PST	3510	P
USGS	14337600	2024-01-17 17:30	PST	3520	P
USGS	14337600	2024-01-17 17:35	PST	3510	P
USGS	14337600	2024-01-17 17:40	PST	3520	P
USGS	14337600	2024-01-17 17:45	PST	3480	P
USGS	14337600	2024-01-17 17:50	PST	3480	P
USGS	14337600	2024-01-17 17:55	PST	3490	P
USGS	14337600	2024-01-17 18:00	PST	3510	P
USGS	14337600	2024-01-17 18:05	PST	3490	P
USGS	14337600	2024-01-17 18:10	PST	3480	P
USGS	14337600	2024-01-17 18:15	PST	3490	P
USGS	14337600	2024-01-17 18:20	PST	3480	P
USGS	14337600	2024-01-17 18:25	PST	3490	P
USGS	14337600	2024-01-17 18:30	PST	3490	P
USGS	14337600	2024-01-17 18:35	PST	3490	P
USGS	14337600	2024-01-17 18:40	PST	3480	P
USGS	14337600	2024-01-17 18:45	PST	3490	P
USGS	14337600	2024-01-17 18:50	PST	3480	P
USGS	14337600	2024-01-17 18:55	PST	3480	P
USGS	14337600	2024-01-17 19:00	PST	3480	P
USGS	14337600	2024-01-17 19:05	PST	3490	P
USGS	14337600	2024-01-17 19:10	PST	3480	P
USGS	14337600	2024-01-17 19:15	PST	3480	P
USGS	14337600	2024-01-17 19:20	PST	3480	P
USGS	14337600	2024-01-17 19:25	PST	3460	P
USGS	14337600	2024-01-17 19:30	PST	3460	P
USGS	14337600	2024-01-17 19:35	PST	3480	P
USGS	14337600	2024-01-17 19:40	PST	3490	P
USGS	14337600	2024-01-17 19:45	PST	3480	P
USGS	14337600	2024-01-17 19:50	PST	3480	P
USGS	14337600	2024-01-17 19:55	PST	3480	P
USGS	14337600	2024-01-17 20:00	PST	3490	P
USGS	14337600	2024-01-17 20:05	PST	3480	P
USGS	14337600	2024-01-17 20:10	PST	3480	P
USGS	14337600	2024-01-17 20:15	PST	3510	P
USGS	14337600	2024-01-17 20:20	PST	3480	P
USGS	14337600	2024-01-17 20:25	PST	3490	P
USGS	14337600	2024-01-17 20:30	PST	3490	P
USGS	14337600	2024-01-17 20:35	PST	3490	P
USGS	14337600	2024-01-17 20:40	PST	3490	P
USGS	14337600	2024-01-17 20:45	PST	3490	P
USGS	14337600	2024-01-17 20:50	PST	3510	P
USGS	14337600	2024-01-17 20:55	PST	3520	P
USGS	14337600	2024-01-17 21:00	PST	3510	P
USGS	14337600	2024-01-17 21:05	PST	3490	P
USGS	14337600	2024-01-17 21:10	PST	3490	P
USGS	14337600	2024-01-17 21:15	PST	3480	P
USGS	14337600	2024-01-17 21:20	PST	3490	P
USGS	14337600	2024-01-17 21:25	PST	3510	P
USGS	14337600	2024-01-17 21:30	PST	3510	P
USGS	14337600	2024-01-17 21:35	PST	3520	P
USGS	14337600	2024-01-17 21:40	PST	3480	P
USGS	14337600	2024-01-17 21:45	PST	3510	P
USGS	14337600	2024-01-17 21:50	PST	3510	P
USGS	14337600	2024-01-17 21:55	PST	3490	P
USGS	14337600	2024-01-17 22:00	PST	3490	P
USGS	14337600	2024-01-17 22:05	PST	3510	P
USGS	14337600	2024-01-17 22:10	PST	3490	P
USGS	14337600	2024-01-17 22:15	PST	3490	P
USGS	14337600	2024-01-17 22:20	PST	3490	P
USGS	14337600	2024-01-17 22:25	PST	3480	P
USGS	14337600	2024-01-17 22:30	PST	3480	P
USGS	14337600	2024-01-17 22:35	PST	3490	P
USGS	14337600	2024-01-17 22:40	PST	3510	P
USGS	14337600	2024-01-17 22:45	PST	3480	P
USGS	14337600	2024-01-17 22:50	PST	3490	P
USGS	14337600	2024-01-17 22:55	PST	3490	P
USGS	14337600	2024-01-17 23:00	PST	3510	P
USGS	14337600	2024-01-17 23:05	PST	3480	P
USGS	14337600	2024-01-17 23:10	PST	3480	P
USGS	14337600	2024-01-17 23:15	PST	3490	P
